155A;7 DE DEZEMBRO
155B;7 DE DEZEMBRO VIA ESCOLA ADELMO GENRO FILHO
155E;7 DE DEZEMBRO RODOVIARIA
155C;ALTO DA BOA VISTA
155D;ALTO DA BOA VISTA VIA ESCOLA ADELMO GENRO FILHO
155F;ALTO DA BOA VISTA RODOVIARIA
145C;BELA UNIAO - CURVA DO L - KENNEDY - ACAMPAMENTO
145D;BELA UNIAO - CURVA DO L - SALGADO FILHO - ACAMPAMENTO
145F;BELA UNIAO - CURVA DO L - SALGADO FILHO - Rodovi�ria
145G;BELA UNIAO - CURVA DO L - SALGADO FILHO - CENTRO
145J;BELA UNIAO - CURVA DO L - BOA VISTA - NORTE - SALGADO FILHO - ACAMPAMENTO
145K;BELA UNIAO - CURVA DO L - BOA VISTA - NORTE - KENNEDY - ACAMPAMENTO
145B;BELA UNIAO - CURVA DO L - BOA VISTA - NORTE - SALGADO FILHO - RODOVIARIA
145;ACAMPAMENTO - SALGADO FILHO - CONCEICAO - CATURRITA - BELA UNIAO
0532;BIG RODOVIARIA
532A;BIG RODOVIARIA SEST SENAT
532B;BIG RODOVIARIA VIA CENTRO MEDICO
532B;BIG RODOVIARIA SEST SENAT CENTRO MEDICO
0777;BOCA DO MONTE
777E;BOCA DO MONTE VILA ESMERALDA
777B;BOCA DO MONTE VIA BOZANO
777L;BOCA DO MONTE VIA LAJEADINHO
777L;BOCA DO MONTE VIA LAGEADINHO
777M;BOCA DO MONTE VIA TERMINAL DO MANECO
0168;BOI MORTO
168B;BOI MORTO SAO AERAFIM
168A;BOI MORTO VIA RESIDENCIA LOPES
168C;BOI MORTO CISM
168F;BOI MORTO FAIXA DE ROSARIO
168G;BOI MORTO RESIDENCIAL LOPES VIA SAO SERAFIM
168J;BOI MORTO VAI E VOLTA PELA VASCO DA CUNHA
168M;BOI MORTO VIA MAURICIO SIROSTSKI SOBRINHO
168H;BOI MORTO FAIXA DE SAO PEDRO
168I;BOI MORTO VIA RUA STA CATARINA NAO ENTRA NA V ROSSI
168E;BOI MORTO VIA MAURICIO SIROTSKI SOBRINHO SAO SERAFIM E PATRONATO
162R;BOI MORTO PATRONATO RODOVIARIA
541B;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R DOUTOR TURI R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R SETE DE SETEMBRO R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA
541C;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS
541A;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV RIO BRANCO TV FERREIRA R SETE DE SETEMBRO R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA
541D;R ASSIS BRASIL R EUCLIDES DA CUNHA R PINTO BANDEIRA AV NOSSA SENHORA DAS DORES AV NOSSA SENHORA MEDIANEIRA R DOUTOR TURI R DO ACAMPAMENTO AV FERNANDO FERRARI R GERALDO ARONIS R PEDRO PEREIRA ROD BR-158 - PISTA LATERAL R PEDRO SANTINI R GENERAL NETO R PADRE AZEVEDO AV FERNANDO FERRARI R GENERAL NETO R RIACHUELO R �NGELO UGLIONE R ANDR� MARQUES R DOS ANDRADAS AV. RIO BRANCO TV FERREIRA R MARECHAL DEODORO R VISCONDE DE FERREIRA PINTO R EUCLIDES DA CUNHA R VEREADOR ANT�NIO DIAS
