00:30 Ca
01:35 @ Cg ff
03:00 ** Ca
04:15 @ ** ff
05:25 Ca ff
06:05 Ca ff
06:35 Ca ff
06:55 Ca ff
07:15 Ca ff
07:35 Ca ff MB
07:55 Ca ff
08:12 Ca ff
08:30 Ca ff MB
08:50 Ca ff
09:10 Ca ff
09:30 Ca ff MB
09:40 Ca ff
09:57 Ca ff
10:15 Ca ff
10:30 Ca ff MB
10:50 Ca ff
11:05 Ca ff
11:25 Ca ff
11:40 Ca ff
11:55 Ca ff
12:10 Ca ff
12:30 Ca ff MB
12:45 Ca ff
13:05 Ca ff
13:30 Ca ff
13:50 Ca ff
14:10 Ca ff
14:30 Ca ff
14:50 Ca ff MB
15:15 Ca ff
15:35 Ca ff
15:55 Ca ff
16:15 Ca ff
16:40 Ca ff
16:57 Ca ff
17:12 Ca ff
17:30 Ca ff MB
17:45 Ca ff
18:00 Ca ff
18:18 Ca ff
18:35 Ca ff MB
18:50 Ca ff
19:10 Ca ff
19:20 Ca ff
19:35 Ca ff
19:50 Ca ff
20:10 Ca ff
20:30 Ca ff
20:45 Ca ff
21:05 Ca ff
21:35 Ca ff
22:10 Ca ff
22:35 Ca ff
23:10 Ca ff
23:30 Ca ff
