Vila Sta Tereza I x Vila Santo Antonio;Sto Antonio,Prefeitura,Matriz,Sta Tereza;101
Vila Rancho x Vila Militar;Vila Rancho,Prefeitura,Matriz,Vila Militar;102
Vila Izabel x Bairro Independencia;Vila Izabel,Prefeitura,Matriz,Independencia;103
Brum I x Toribio Verissimo;Brum I,Prefeitura,Matriz,Toribio Verissimo;104
Vila Rancho x Bairro Brum I;;105
Polivalente x Vila Izel;;106
Vila Militar x Vila Toribio Verissimo;Toribio Verissimo,Prefeitura,Matriz,Vila Militar;107
Vila Izabel x Polivalente;;108
Bairro Sao Jorge x Bairro Educacional;Sao Jorge,Prefeitura,Matriz,Educacional;109
Bairro Fatima x Praça da Catedral;Bairro Fatima,Prefeitura,Matriz,Catedral;110
São Vicente x Bairro Fatima;Sao Vicente,Matriz,Prefeitura,Bairro Fatima;111
Bairro de Fatima x Hospital Sao Vicente;Bairro Fatima,Prefeitura,Matriz,Hospital Sao Vicente;112
Santa Tereza II x Abegay;;113
Abegay x  Sta Tereza II;;114
Penha x  Bairro Brum II;;115
Vila Progresso x Bairro Sao Miguel;Progresso,Matriz,Prefeitura,Sao Miguel;116
Vila Santa Rita x Bairro Educacional;;118
Rodoviaria x Hospital Sao Vicente;Rodoviaria,Prefeitura,Matriz,Hospital Sao Vicente;119
Praça da Catedral x Benjamin Nott;Cruz Alta,Prefeitura,Benjamin Nott;120
Linha Campus;;121
Acelino Flores x Bairro Fatima;Bairro Fatima,Prefeitura,Acelino Flores;123
