TM;Três Martires
LQ;Linha Quarta
SDG;Saída da Garagem (TER/QUI Saída da ponte 06:00) (SEG/SEX Saída da invernadinha 06:20)
SDC;Saída do Corithians
SDTBS;Saída de Três Barras(SEGUNDA E SEXTA)
SDTBT;Saída de Três Barras(TERÇA E QUINTA)
SDTPS;Saída do Trevo de Palma(SEGUNDA E SEXTA)
SDTPT;Saída do Trevo de Palma(TERÇA E QUINTA)
SCor;Saída do Corithians
SCorQ;(SOMENTE SEGUNDA,QUARTA E SEXTAS)Saída do Corithians
STbar;Saída de Três Barras
SPal;Saída do Trevo de Palma
SPlan;(SOMENTE SEGUNDA,QUARTA E SEXTAS)Saída de Planchada
