06:00;SAI DO NOVO HORIZONTE-FARROUPILHA
06:15;DE SÃO JOSE- RODOVIÁRIA - SÃO JOÃO
06:00;DA CAROLINA : PASSA NOS BLOCOS ; FARROUPILHA - CAROLINA
06:33;DA CAROLINA : PASSA NOS BLOCOS;LAURO M.SOARES;CAROLINA
07:00;DA S.JOAO : PASSA NOS BLOCOS;LAURO M.SOARES - CAROLINA
07:30;DA S.JOAO : PASSA NOS BLOCOS;LAURO M.SOARES - CAROLINA
08:30;DA CAROLINA : PASSA NOS BLOCOS;LAURO M. SOARES - CAROLINA
09:30;DA CAROLINA : PASSA NOS BLOCOS;LAURO M. SOARES - CAROLINA
10:40;DA CAROLINA : PASSA NOS BLOCOS; LAURO M. SOARES - CAROLINA
11:40;DA CAROLINA : PASSA NOS BLOCOS ; FARROUPILHA - CAROLINA
11:55;DA CAROLINA : PASSA NOS BLOCOS ; FARROUPILHA - CAROLINA
12:40;DA CAROLINA : PASSA NOS BLOCOS ; FARROUPILHA - CAROLINA
13:25;DA CAROLINA : SILVA JARDIM:PASSA NOS BLOCOS;LAURO M. SOARES-CAROLINA
14:20;DA CAROLINA : PASSA NOS BLOCOS; LAURO M.SOARES-CAROLINA
15:00;DA CAROLINA : PASSA NOS BLOCOS;LAURO M. SOARES-CAROLINA
16:00;DA CAROLINA : PASSA NOS BLOCOS;FARROUPILHA-CAROLINA
17:05;DA CAROLINA : PASSA NOS BLOCOS; FARROUPILHA CAROLINA
18:00;DA CAROLINA : PASSA NOS BLOCOS;LAURO M. SOARES-CAROLINA
18:45;DA CAROLINA : PASSA NOS BLOCOS;FARROUPILHA ;CAROLINA
19:25;DA CAROLINA : PASSA NOS BLOCOS;LAURO M. SOARES- CAROLINA
20:25;DA CAROLINA : PASSA NOS BLOCOS; E O FINAL DE LINHA NOS PAINS
21:00;DA CAROLINA : PASSA NOS BLOCOS ;E O FINAL DE LINHA NOS PAINS
22:00;DA CAROLINA : LAURO M.SOARES;BLOCOS;CAROLINA
22:40;DA CAROLINA : LAURO M.SOARES; BLOCOS;CAROLINA
23:25;DA CAROLINA : LAURO M. SOARES;E O FINAL DE LINHA NOS PAINS ; SE TIVER PASSAGEIROS PASSA NA VOLTA NOS BLOCOS; ANTONIO BOTEGA ATÉ A SINALEIRA DA FAIXA VELHA
