SABV;Larga no bairro o mercado bordin / Alto da Boa vista
RABV;Vai na rodoviária / Alto da Boa vista
M7D;Sai 10 minutos antes do horário pegando no mercado bordin / 7 de dezembro
7D;7 de dezembro
ABV;Alto da Boa vista
ABVA;Vai até por Dol sol e Núcleo Central /  Alto da Boa vista
E7D;Vai na Esc.Adelmo Simas Genro /  7 de dezembro
EABV;Vai na Esc.Adelmo Simas Genro /  Alto da Boa vista
R7D;Vai na rodoviária /  7 de dezembro
V7D;Após fazer a volta da fim de linha na area verde /  7 de dezembro
Ur;Urlândia
PT;Passo das Tropas
Cap;Capivara
S;Santos
PP;Pau a Pique
VL;Lorenzi
CM;Centro Médico
SS;Via SEST/SENAT
CMSS;Centro Médico / Via SEST/SENAT
FNRO;da fim de linha na rodoviária
MV;Passa no meio da Vila
DA;Direto pelo Asfalto
DASCA;Direto pelo Asfalto-Quebradente Qui e Qua Quilombo
DALG;Direto pelo Asfalto-Lageadinho
VE;vai Vila Esmeralda
MVMan;Passa no meio da Vila-Via terminal do maneco
BZVE;Via Bozano / Vila Esmeralda
VEMan;Terminal do Maneco / Vila Esmeralda
IMVNI;11:50 Lageadinho / 12:05 BM via Niederauer-Passa no meio da Vila-Via Niederauer
LG;Lageadinho
STMV;6:50 Lageadinho / 07:20 BM ter e qui Quilombo-Sai as 06:50 de S Antonio e as 07:20 da BM-Passa no meio da Vila
VENI;Vila Esmeralda / Via Niederauer
BZ;Via Bozano
LGVES;Lageadinho / Vila Esmeralda-06:50 Lageadinho / 07:20 BM  ter e qui Quilombo
VR;Vila Rossi
CaffA;Camobi / Fernando Ferrari Vai UFSM
Caff;Camobi / Fernando Ferrari
Cgff;Carlos Gomes / Fernando Ferrari
Cg;Carlos Gomes
Ca;Camobi
CaffMB;Camobi / Fernando Ferrari / Monte Belo
CgffA;Carlos Gomes / Fernando Ferrari / Vai UFSM
CaAS;Camobi (este horário não existe no feriado)
ffASAR;Fernando Ferrari / Vai UFSM (este horário não existe no feriado)
CaHA;Camobi / Liquigas
CgHA;Carlos Gomes / Liquigas
Cgrpo;Carlos Gomes / Rodoviária / Quando sai do bairro vai ao centro e depois na rodoviária
Car;Carlos Gomes / Rodoviária
Carpo;Camobi / Rodoviária / Quando sai do bairro vai ao centro e depois na rodoviária
Cgpor;Carlos Gomes / Quando sai do bairro vai ao centro e depois na rodoviária
Caff2;Camobi / Fernando Ferrari / (Passa na ferrari só na volta, mas sai com placca do centro)
Cgff2;Carlos Gomes / Fernando Ferrari / (Passa na ferrari só na volta,mas sai com placca do centro)
CaASAR;Camobi / Vai UFSM / (este horário não existe no feriado)
Cgf2A;Carlos Gomes / Fernando Ferrari / (este horário não existe no feriado) (Passa na ferrari só na volta,mas sai com placca do centro)
Caps;Camobi / Ponte Seca
CgBig;Carlos Gomes / Via Big e Monet Plaza Shopping
CaAe;Camobi / Aeroporto
Min;Minuano
VPM;Via Porteira São Miguel
VPMARE;Via Porteira São Miguel / Arenal
VPMINV;Via Porteira São Miguel / Arenal / Cap invertido(Sai da estrada da capivara apos a ponte BR392
SPM;Sai Porteira do Miguel
SPMHAA;Sai Porteira do Miguel / Via Seminario Sao Jose / Cap invertido(Sai da estrada da capivara apos a ponte BR392
FRIG;Cap/Frigorifico Silva/Fx/entra no cachoeira
PAP;Entra na lombada eletronica /  vai no pau a pique e faz capivara normal
AREINV;Arenal Cap invertido(Sai da estrada da capivara apos a ponte BR392
SEMINA;Via Seminario Sao Jose
NO;Nonoai
NOAR;Nonoai / sai da Tamandaí esq. F. Ferrari e também entra na vila Medianeira, Só até Pádua
NOCO;Nonoai / vai Colégio Otão
NOOO;Nonoai / entra na vila Medianeira
NOQU;Nonoai / vai no cerrito nas quartas-feiras
NOCM;Nonoai / Centro Médico
NORR;Nonoai / vai até a Rodoviária dando fim de linha
NOTA;Nonoai / sai da Tamandaí prox. do posto Ferrari
NOCR;Nonoai / Cerrito
NOCRTA;Nonoai / Cerrito sai da Tamandaí esq. F. Ferrari e também entra na vila Medianeira /  Só até Pádua
NOCRTN;Nonoai / Cerrito via residencial Terra Nova moradas
CS;Casa de saúde
CAPR;Casa de saúde / via Presidente Vargas
CARR;Casa de saúde / Vai até a Rodoviária dando fim de linha
CAFI;Casa de saúde / sai da FIAT
CAOO;Casa de saúde / entra na vila Medianeira
CACO;Casa de saúde / vai Colégio Otão
CACR;Casa de saúde / Cerrito
CACRTN;Casa de saúde / Cerrito via residencial Terra Nova Moradas
CACMFI;Casa de saúde / Centro Médico sai da FIAT
CETEDO;Cerrito via residencial Terra Nova Moradas vai Sede Camp. Dores
SUL;Sentido SUL
TR;Sai Trevo Somavila
RI;Vai até Rincão dos bentos
CI;Via loteamento Cipriano da Rocha
CC;Centro Comercial
AV;Desce pela avenida
AVTR;Desce pela avenida Sai Trevo Somavila
AVCI;Desce pela avenida Via loteamento Cipriano da Rocha
RBCI;Vai até Rincão dos bentos Via loteamento Cipriano da Rocha
CCTS;Centro Comercial Sai Trevo Somavila
CCCI;Centro Comercial Via loteamento Cipriano da Rocha
