7 de Dezembro;Centro > Bairro,Bairro > Centro;
Ate Seminario São Jose;Centro > Bairro;Bairro > Centro;
Big Rodoviaria;Centro > Rodoviaria;Rodoviaria > Centro;
Boca do Monte;Rodoviaria > Boca do Monte;Boca do Monte > Rodoviaria;
Boi Morto e Vila Rossi;Centro > Bairro,Bairro > Centro;
Camobi e Carlos Gomes;Centro > Base,Base > Centro;
Camobi Seletivo;Centro > Bairro,Bairro > Centro;
Capivara;Centro > Bairro,Bairro > Centro;
Casa de Saude e Nonoai;Centro > Bairro,Bairro > Centro;
Circular Camobi;Saida da UFSM;
Circular Cemiterio;Norte,Sul,Barao;
Circular Tancredo Neves;Terminal Tancredo Neves;
Extensao Santa Mate;Centro > Bairro,Bairro > Centro;
Fernando Ferrari;Centro > Bairro,Bairro > Centro;
Fernando Ferrari Rodoviaria;Centro > Bairro,Bairro > Centro;
Ipiranga;Centro > Bairro,Bairro > Centro;
Jardim Berleze e Maringa;Centro > Bairro,Bairro > Centro;
Medianeira via Carlos Hur;Centro > Bairro,Bairro > Centro;
Minuano e Passo das Tropas;Centro > Bairro,Bairro > Centro;
Parque Pinheiro Machado e Coca-cola;Centro > Bairro,Bairro > Centro;
Passo das Tropas ate Antao Abrantes;Centro > Bairro,Bairro > Centro;
Patronato;Centro > Bairro,Bairro > Centro;
Patronato-Boi Morto-Rodoviaria;Rodoviaria > Bairro,Bairro > Rodoviaria;
Pau a Pique;Centro > Bairro,Bairro > Centro;
Parque Pinheiro Machado;Centro > Bairro,Bairro > Centro;
Parque Pinheiro Machado-Coca-cola-Rodoviaria-ULBRA;Rodoviaria > Bairro,Bairro > Rodoviaria;
Prado;Centro > Bairro,Bairro > Centro;
Passo das Tropas-Minuano-Rodoviaria;Centro > Bairro,Bairro > Centro;
Residencial Lopes;Centro > Bairro,Bairro > Centro;
Santa Marta;Centro > Bairro,Bairro > Centro;
Santos-Urlandia;Centro > Bairro,Bairro > Centro;
Tancredo Neves;Centro > Bairro,Bairro > Centro;
Tancredo Neves-Rodoviaria;Saida da Cohab;
Tancredo Neves Campus;Tancredo Neves > Campus,Campus > Tancredo Neves;
Tancredo Neves seletivo;Centro > Bairro,Bairro > Centro;
Vila Lorenzi;Centro > Bairro,Bairro > Centro;
Vila Thomazetti;Centro > Bairro,Bairro > Centro;
