0168;0168 BOI MORTO
168B;168B BOI MORTO SAO AERAFIM
168A;168A BOI MORTO VIA RESIDENCIA LOPES
168C;168C BOI MORTO CISM
168F;168F BOI MORTO FAIXA DE ROSARIO
168G;168G BOI MORTO RESIDENCIAL LOPES VIA SAO SERAFIM
168J;168J BOI MORTO VAI E VOLTA PELA VASCO DA CUNHA
168M;168M BOI MORTO VIA MAURICIO SIROSTSKI SOBRINHO
0168;0168 BOI MORTO
168B;168B BOI MORTO SAO SERAFIM
168C;168C BOI MORTO CISM
168E;168E BOI MORTO CISM
168F;168F BOI MORTO FAIXA DE ROSARIO
168G;168G BOI MORTO RESIDENCIAL LOPES SAO SERFAIM
168H;168H BOI MORTO FAIXA DE SAO PEDRO
168I;168I BOI MORTO VIA RUA STA CATARINA NAO ENTRA NA V ROSSI
168M;168M BOI MORTO VIA MAURICIO SIROSTY SOBRINHO
168E;168E BOI MORTO VIA MAURICIO SIROTSKI SOBRINHO SAO SERAFIM E PATRONATO
168A;168A BOI MORTO RESIDENCIAL LOPES
162R;162R BOI MORTO PATRONATO RODOVIARIA
