198A;CAROLINA - FAIXA-SAO JOSE
198G;VENANCIO - FAIXA - SAO JOSE - FARROUPILHA
198N;CAROLINA - RODOVIARIA - SAO JOSE
198S;SAO JOAO - SAO JOSE - NOVO HORIZONTE - PAINS
198U;SAO JOAO - KM2 - VENANCIO - KM3
198W;CAROLINA - SAO JOAO - KM2 - SAO JOSE
198Z;CAROLINA - RODOVIARIA - SAO JOSE - ATACADAO - NOVO HORIZONTE - PAINS
241A;CAROLINA - SAO JOSE
241B;CAROLINA - SAO JOAO - SAO JOSE
241C;CAROLINA - SAO JOAO - FAIXA - SAO JOSE
241D;CAROLINA - SILVA JARDIM - SAO JOSE
241E;CAROLINA - SILVA JARDIM - FAIXA - SAO JOSE
241F;CAROLINA - SAO JOAO - SILVA JARDIM - FAIXA - SAO JOSE
241G;CAROLINA - SAO JOAO - RODOVIARIA - SAO JOSE
241H;CAROLINA - RODOVIARIA - SAO JOSE
241I;CAROLINA - ATACADAO - NOVO HORIZONTE - PAINS
241J;CAROLINA - SAO JOAO - ATACADAO - NOVO HORIZONTE - PAINS
241K;CAROLINA - SAO JOAO - FAIXA - ATACADAO - NOVO HORIZONTE - PAINS
241L;CAROLINA - FAIXA -ATACADAO - NOVO HORIZONTE - PAINS
241M;CAROLINA - FARROUPILHA - ATACADAO - NOVO HORIZONTE - PAINS
241N;CAROLINA - SILVA JARDIM - FAIXA - ATACADAO - NOVO HORIZONTE - PAINS
241O;CAROLINA - FAIXA - LAURO MACHADO SOARES - ATACADAO NOVO HORIZONTE - PAINS
241P;CAROLINA - LAURO MACHADO SOARES - ATACADAO NOVO HORIZONTE - PAINS
241Q;CAROLINA - CENTRO
241S;CAROLINA - FORUM
241T;CAROLINA - SAO JOAO - FORUM
241U;CAROLINA - DORES
241V;CAROLINA - SAO JOAO - SILVA JARDIM - CASA DE RETIROS
241W;CAROLINA - SAO JOAO - KM2 - SILVA JARDIM RODOVIARIA - SAO JOSE
241X;CAROLINA - ROSSATO
241Y;SAO JOAO - SAO JOSE
198A;SAO JOSE-FAIXA-CAROLINA
198B;SAO JOSE - SAO JOAO - CAROLINA
198C;SAO JOSE - ROSSATO - CAROLINA
198J;SAO JOSE - FAIXA - CATEDRAL
198L;SAO JOSE - FAIXA - RIACHUELO
198M;SAO JOSE - ROSSATO - SAO JOAO
198N;SAO JOSE - RODOVIARIA - CAROLINA
198Q;PAINS - FARROUPILHA - FAIXA - SAO JOAO - CAROLINA
198R;PAINS - FARROUPILHA - FAIXA - CAROLINA
198S;PAINS - SAO JOSE - KM3 - SAO JOAO
198U;KM3 - SAO JOAO
198V;LAURO M. SOARES - SAO JOSE - KM3 - SAO JOAO
198W;SAO JOSE- SAO JOAO - KM2 - CAROLINA
241A;CAROLINA - SAO JOSE
241B;CAROLINA - SAO JOAO - SAO JOSE
241C;CAROLINA - SAO JOAO - FAIXA - SAO JOSE
241G;CAROLINA - SAO JOAO - RODOVIARIA - SAO JOSE
241H;CAROLINA - RODOVIARIA - SAO JOSE
241I;CAROLINA - ATACADAO - NOVO HORIZONTE - PAINS
241J;CAROLINA - SAO JOAO - ATACADAO - NOVO HORIZONTE - PAINS
241K;CAROLINA - SAO JOAO - FAIXA - ATACADAO - NOVO HORIZONTE - PAINS
241L;CAROLINA - FAIXA - ATACADAO - NOVO HORIZONTE - PAINS
241M;CAROLINA - FARROUPILHA - ATACADAO - NOVO HORIZONTE - PAINS
241O;CAROLINA - FAIXA - LAURO MACHADO SOARES - ATACADAO - NOVO HORIZONTE - PAINS
241P;CAROLINA - LAURO MACHADO SOARES - ATACADAO - NOVO HORIZONTE - PAINS
241S;CAROLINA - FORUM
241T;CAROLINA - SAO JOAO - FORUM
241W;CAROLINA - SAO JOAO - KM2 - SILVA JARDIM RODOVIARIA - SAO JOSE
241Y;SAO JOAO - SAO JOSE
