0160;TANCREDO NEVES
160C;TANCREDO NEVES RIO BRANCO VIA SANTA MARTA
160E;TANCREDO NEVES VIA RIO BRANCO
160F;TANCREDO NEVES VIA AVENIDA MEDIANEIRA
160I;TANCREDO NEVES VIA SANTA MARTA
160M;TANCREDO NEVES VIA MANECO
160P;TANCREDO NEVES PA PATRONATO
160E;TANCREDO NEVES VIA RIO BRANCO
160B;TANCREDO NEVES RODOVIARIA
160J;TANCREDO NEVES RODOVIARIA VIA SEMINARIO SAO JOSE
160Q;TANCREDO NEVES VIA CIPRIANO
160R;TANCREDO NEVES VIA RINCAO DOS BENTOS
160S;TANCREDO NEVES VIA SANTA MARTA E CENTRO COMERCIAL
160T;TANCREDO NEVES VIA VALE MACHADO
160D;TANCREDO NEVES SAI DO CENTRO COMERCIAL
