140;Vitória - Norte - Caturrita - Bela União - Kennedy - Rodoviária
140K;Vitória - Norte - Kennedy - Acampamento
140M;Vitória - Norte - Salgado Filho - Acampamento
140L;Vitória - Norte - Kennedy - Rodoviária
140N;Vitória - Norte - Salgado Filho - Rodoviária
140E;Vitória - Itagiba - Norte - Kennedy - Acampamento
140G;Vitória - Itagiba - Norte - Salgado Filho - Acampamento
140I;Vitória - Borges - Kennedy - Acampamento
140I;Vitória - Itagiba - Borges - Kennedy - Acampamento
140J;Vitória - Norte - Caturrita - Bela União - curva do L - Kennedy - Acampamento
